日文,假名,中文,类型,
大丈夫,だいじょうぶ,没关系，放心,形容动词,
だめ,だめ,不行，不可以,形容动词,
十分,じゅうぶん,好好地，充足地,副词,
もちろん,もちろん,当然，不用说,副词,
ゆっくり,ゆっくり,好好地，安静地,副词,
もしもし,もしもし,喂,感叹词,
いえ,いえ,不，不是,感叹词,
お大事に,おだいじに,请多保重,惯用语,
いけません,いけません,不行，不可以,惯用语,
かまいません,かまいません,没关系，不要紧,惯用语,
まだです,まだです,还没有，仍然……没有,惯用语,
気をつけます,きをつけます,注意,惯用语,
無理をします,むりをします,勉强,惯用语,
睡眠をとります,すいみんをとります,睡觉,惯用语,
お風呂にはいります,おふろにはいります,洗澡,惯用语,
,,,,
新标初_16,,,,
操作,そうさ,操作，操纵,名词,
機械,きかい,机械，机器,名词,
旅行会社,りょこうがいしゃ,旅行社,名词,
航空会社,こうくうがいしゃ,航空公司,名词,
営業部,えいぎょうぶ,营业部,名词,
ＩＴ産業,アイティーさんぎょう,IT产业，信息技术产业,名词,
製品,せいひん,产品,名词,
建築家,けんちくか,建筑师,名词,
設計,せっけい,设计,名词,
デザイン,デザイン,设计（图），（制作）图案,名词,
形,かたち,造型，形状，形式,名词,
最新,さいしん,最新,名词,
ネクタイ,ネクタイ,领带,名词,
財布,さいふ,钱包,名词,
革,かわ,革，皮革,名词,
布,ぬの,布，布匹,名词,
水筒,すいとう,水壶，水筒,名词,
緑,みどり,绿，绿色,名词,
足,あし,脚,名词,
指,ゆび,手指，指头,名词,
目,め,眼，眼睛,名词,
鼻,はな,鼻，鼻子,名词,
顔,かお,脸，颜面,名词,
頭,あたま,头，头脑,名词,
ＩＤカード,アイディーカード,身份证件,名词,
間違い,まちがい,错误，失误,名词,
問題,もんだい,问题,名词,
広告,こうこく,广告,名词,
看板,かんばん,牌子,名词,
展示場,てんじじょう,展览会场,名词,
入場料,にゅうじょうりょう,门票，进场费,名词,
サービス,サービス,服务,名词,
天井,てんじょう,天棚,名词,
警備,けいび,戒备，警备,名词,
クリスマスツリー,クリスマスツリー,圣诞树,名词,
オーストラリア人,オーストラリアじん,澳大利亚人,名词,
皆さん,みなさん,大家，诸位,名词,
子,こ,孩子,名词,
横,よこ,旁边，侧面,名词,
持ちます,もちます,有，拥有，持有,动1,
住みます,すみます,住，居住,动1,
知ります,しります,认识，知道，了解,动1,
直します,なおします,改，修改，改正,动1,
片づけます,かたづけます,收拾，整理,动2,
練習します,れんしゅうします,练习,动3,
結婚します,けっこんします,结婚,动3,
安心します,あんしんします,安心，放心,动3,
明るい,あかるい,明亮，开朗,形容词,
長い,ながい,长，长久，长远,形容词,
短い,みじかい,短，短暂,形容词,
軽い,かるい,轻巧，轻，轻松，轻微,形容词,
優しい,やさしい,和蔼，温和，体贴,形容词,
細い,ほそい,小，细长，纤细,形容词,
太い,ふとい,粗，胖,形容词,
黒い,くろい,黑，黑色,形容词,
ユニーク,ユニーク,独特，唯一,形容动词,
安全,あんぜん,安全,形容动词,
派手,はで,耀眼，花哨,形容动词,
地味,じみ,朴素，质朴,形容动词,
厳重,げんじゅう,森严；严格,形容动词,
まじめ,まじめ,认真；严肃,形容动词,
大切,たいせつ,重要，珍贵,形容动词,
複雑,ふくざつ,复杂，繁杂,形容动词,
ちゃんと,ちゃんと,好好地，的确，完全,副词,
すぐ,すぐ,马上，立即,副词,
ずいぶん,ずいぶん,相当，非常，很,副词,
ほら,ほら,你看，瞧，喂,感叹词,
日中電気,にっちゅうでんき,日中电器,专有词,
頭がいい,あたまがいい,脑子好，聪明,惯用语,
,,,,
新标初_17,,,,
洋服,ようふく,西服,名词,
セーター,セーター,毛衣,名词,
ノートパソコン,ノートパソコン,笔记本电脑,名词,
バイク,バイク,摩托车,名词,
お汁粉,おしるこ,年糕小豆汤,名词,
天ぷら,てんぷら,天麸罗,名词,
初詣,はつもうで,新年后首次参拜,名词,
健康,けんこう,健康,名词,
恋愛,れんあい,恋爱,名词,
ドラマ,ドラマ,连续剧,名词,
相手,あいて,对象，对方,名词,
恋人,こいびと,恋人,名词,
先輩,せんぱい,前辈,名词,
男性,だんせい,男性,名词,
外国人,がいこくじん,外国人,名词,
夏,なつ,夏天,名词,
始めます,はじめます,开始,动2,
連絡します,れんらくします,联系,动3,
欲しい,ほしい,想要,形容词,
立派,りっぱ,美观，杰出,形容动词,
今度,こんど,下次；这回,副词,
ぜひ,ぜひ,一定,副词,
そろそろ,そろそろ,快要,副词,
まず,まず,先，首先,副词,
ベートーベン,ベートーベン,贝多芬,专有词,
ショパン,ショパン,肖邦,专有词,
故宮,こきゅう,故宫,专有词,
ヨーロッパ,ヨーロッパ,欧洲,专有词,
香港,ホンコン,香港,专有词,
スイス,スイス,瑞士,专有词,
,,,,
新标初_18,,,,
音,おと,声音，响声,名词,
声,こえ,声音,名词,
空気,くうき,空气,名词,
息子,むすこ,儿子,名词,
医者,いしゃ,医生,名词,
お嬢さん,おじょうさん,令爱,名词,
社会人,しゃかいじん,社会的一员，成人,名词,
旅行ガイド,りょこうガイド,旅行导游,名词,
学者,がくしゃ,学者,名词,
パイロット,パイロット,飞行员,名词,
デザイナー,デザイナー,设计者，设计家,名词,
タイムサービス,タイムサービス,时段廉价销售,名词,
新春セール,しんしゅんセール,新年大甩卖,名词,
３割引,さんわりびき,七折,名词,
定価,ていか,定价,名词,
半額,はんがく,半价,名词,
値段,ねだん,价格,名词,
シャツ,シャツ,衬衫,名词,
スカート,スカート,裙子,名词,
色,いろ,颜色,名词,
赤,あか,红色,名词,
青,あお,蓝色,名词,
お正月,おしょうがつ,过年，新年,名词,
時間,じかん,时间,名词,
将来,しょうらい,将来,名词,
準備,じゅんび,准备,名词,
病気,びょうき,疾病,名词,
なります,なります,变，当，变成，成为,动1,
開きます,あきます,开,动1,
似合います,にあいます,适合，相称,动1,
うるさい,うるさい,闹，使人心烦,形容词,
シンプル,シンプル,单纯，简洁,形容动词,
間もなく,まもなく,马上，一会儿，不久,副词,
さらに/もっと,さらに/もっと,更加，更,副词,
さあ,さあ,啊，喂,感叹词,
できるだけ,できるだけ,尽量，尽可能,惯用语,
まとめて,まとめて,一下子，一起，汇总，汇集,惯用语,
今から,いまから,从现在起,惯用语,
,,,,
新标初_19,,,,
品物,しなもの,物品，商品,名词,
お皿,おさら,盘子,名词,
ごみ,ごみ,垃圾,名词,
初心者,しょしんしゃ,初学者,名词,
上級者,じょうきゅうしゃ,熟练者,名词,
高級,こうきゅう,高级,名词,
上級クラス,じょうきゅうクラス,高级班,名词,
英会話,えいかいわ,英语会话,名词,
コース,コース,路线，滑道,名词,
スキー,スキー,滑雪,名词,
レポート,レポート,报告,名词,
パスポート,パスポート,护照,名词,
のど,のど,喉咙,名词,
触ります,さわります,碰，触,动1,
脱ぎます,ぬぎます,脱,动1,
転びます,ころびます,摔，摔倒，跌倒,动1,
渇きます,かわきます,渴,动1,
治ります,なおります,痊愈，医好,动1,
滑ります,すべります,滑，滑行,动1,
呼びます,よびます,呼喊,动1,
返します,かえします,归还,动1,
手伝います,てつだいます,帮忙,动1,
運びます,はこびます,搬运,动1,
なくします,なくします,丢，丢失,动1,
落とします,おとします,掉，使落下,动1,
置きます,おきます,放置,动1,
払います,はらいます,支付,动1,
立ちます,たちます,站，立,动1,
忘れます,わすれます,忘记,动2,
慌てます,あわてます,慌张，惊慌，着急,动2,
捨てます,すてます,扔，扔掉,动2,
残業します,ざんぎょうします,加班,动3,
心配します,しんぱいします,担心,动3,
本当,ほんとう,真的，真正,形容动词,
早く,はやく,早点儿,副词,
やっと,やっと,好不容易，终于,副词,
だいぶ,だいぶ,很，相当地,副词,
初めて,はじめて,第一次,副词,
先に,さきに,先,副词,
山田,やまだ,山田,专有词,
,,,,
新标初_20,,,,
趣味,しゅみ,爱好,名词,
特技,とくぎ,特长，拿手的技术,名词,
興味,きょうみ,兴趣,名词,
夢,ゆめ,梦，理想,名词,
ギター,ギター,吉他,名词,
胡弓,こきゅう,胡琴,名词,
書道,しょどう,书法,名词,
釣り,つり,钓鱼,名词,
ドライブ,ドライブ,兜风，开汽车远游,名词,
編み物,あみもの,编制；编织品,名词,
手作り,てづくり,手工做，自己做，手制,名词,
中華街,ちゅうかがい,中华街,名词,
中華料理,ちゅうかりょうり,中国菜,名词,
餃子,ギョーザ,饺子,名词,
皮,かわ,皮,名词,
春節,しゅんせつ,春节,名词,
獅子舞,ししまい,狮子舞,名词,
寮,りょう,宿舍,名词,
洗濯機,せんたくき,洗衣机,名词,
シャワー,シャワー,淋浴,名词,
おなか,おなか,肚子,名词,
授業,じゅぎょう,授课，上课,名词,
資料,しりょう,资料,名词,
フランス語,フランスご,法语,名词,
小説,しょうせつ,小说,名词,
海岸,かいがん,海岸,名词,
冬休み,ふゆやすみ,寒假,名词,
キャンプ,キャンプ,野营,名词,
みんな,みんな,大家,名词,
自分,じぶん,自己,名词,
全員,ぜんいん,全员,名词,
弾きます,ひきます,弹,动1,
すきます,すきます,（肚子）饿，空,动1,
登ります,のぼります,登，上,动1,
集めます,あつめます,收集,动2,
浴びます,あびます,淋；浇,动2,
ごちそうします,ごちそうします,请客，摆盛宴,动3,
帰国します,きこくします,回国,动3,
特に,とくに,特别,副词,
おなかがすきます,おなかがすきます,肚子饿,惯用语,
,,,,
新标初_21,,,,
言葉,ことば,语言,名词,
メールアドレス,メールアドレス,邮件地址,名词,
連休,れんきゅう,连休,名词,
ゴールデンウィーク,ゴールデンウィーク,黄金周,名词,
終わり,おわり,结束,名词,
休憩時間,きゅうけいじかん,休息时间,名词,
京劇,きょうげき,京剧,名词,
切符,きっぷ,票（券）,名词,
体,からだ,身体,名词,
地震,じしん,地震,名词,
泥棒,どろぼう,小偷，盗贼,名词,
駐車場,ちゅうしゃじょう,停车场,名词,
渡します,わたします,交给,动1,
遅れます,おくれます,迟到,动2,
考えます,かんがえます,考虑,动2,
調べます,しらべます,调查,动2,
着ます,きます,穿,动2,
予約します,よやくします,预约,动3,
感謝します,かんしゃします,感谢,动3,
運動します,うんどうします,运动,动3,
洗濯します,せんたくします,洗涤，洗,动3,
報告します,ほうこくします,报告,动3,
危ない,あぶない,危险,形容词,
それとも,それとも,还是，或者,接续词,
東京タワー,とうきょうタワー,东京塔,专有词,
そんなに,そんなに,那么,惯用语,
,,,,
新标初_22,,,,
スキー場,スキーじょう,滑雪场,名词,
送別会,そうべつかい,欢送会,名词,
都合,つごう,方便；情况,名词,
予定,よてい,预约,名词,
おもちゃ,おもちゃ,玩具,名词,
火事,かじ,火灾,名词,
期間,きかん,时间，期间,名词,
転勤,てんきん,调动工作,名词,
携帯,けいたい,手机,名词,
バドミントン,バドミントン,羽毛球,名词,
ラケット,ラケット,球拍,名词,
奥さん,おくさん,夫人，（别人的）爱人,名词,
歌手,かしゅ,歌手,名词,
大統領,だいとうりょう,总统,名词,
やります,やります,做,动1,
うれしい,うれしい,高兴,形容词,
眠い,ねむい,困倦,形容词,
重い,おもい,重，沉重,形容词,
急,きゅう,突然；紧急,形容动词,
まあまあ,まあまあ,大致，还算,副词,
ごめん,ごめん,抱歉，请原谅,感叹词,
ううん/いや,ううん/いや,不,感叹词,
うん,うん,嗯,感叹词,
清水,しみず,清水,专有词,
太田,おおた,太田,专有词,
モーツァルト,モーツァルト,莫扎特,专有词,
ディズニーランド,ディズニーランド,迪斯尼乐园,专有词,
,,,,
新标初_23,,,,
週末,しゅうまつ,周末,名词,
スケート,スケート,滑冰，溜冰,名词,
味,あじ,口味，（食物的）味道,名词,
毎回,まいかい,每次，每回,名词,
通勤,つうきん,上下班，通勤,名词,
船,ふね,船,名词,
生地,きじ,布料，衣料,名词,
閉店時刻,へいてんじこく,关门时间,名词,
卒業式,そつぎょうしき,毕业典礼,名词,
違います,ちがいます,不同，不一样,动1,
込みます,こみます,拥挤，混杂,动1,
決まります,きまります,定，决定,动1,
知らせます,しらせます,告诉,动2,
確かめます,たしかめます,查（看），弄清,动2,
濃い,こい,（口味）重；浓,形容词,
薄い,うすい,（口味）轻；薄,形容词,
早い,はやい,早,形容词,
遅い,おそい,晚，慢,形容词,
たぶん,たぶん,可能，大概,副词,
東京駅,とうきょうえき,东京站,专有词,
,,,,
新标初_24,,,,
ハイキング,ハイキング,郊游，远足,名词,
お別れ,おわかれ,分别，分手,名词,
話,はなし,说话,名词,
見送り,みおくり,送行，送别,名词,
間,あいだ,时间，期间,名词,
法律,ほうりつ,法律,名词,
思います,おもいます,想，思考,动1,
言います,いいます,说，讲,动1,
探します,さがします,找，寻找，寻求,动1,
笑います,わらいます,笑,动1,
やめます,やめます,戒，停止，放弃,动2,
決めます,きめます,决定,动2,
寝坊します,ねぼうします,睡懒觉,动3,
外出します,がいしゅつします,外出，出去,动3,
研究します,けんきゅうします,研究,动3,
おかしい,おかしい,可笑，滑稽,形容词,
いっぱい,いっぱい,满,副词,
すごい,すごい,惊人的，了不起,副词,
とうとう,とうとう,终于，终究，到底,副词,
必ず,かならず,一定，必定,副词,
絶対に,ぜったいに,绝对,副词,
馬,ば,马,专有词,
お世話になりました,おせわになりました,承蒙照顾,惯用语,
よろしくお伝えください,よろしくおつたえください,请代问好,惯用语,
お元気で,おげんきで,请多保重,惯用语,
お気をつけて,おきをつけて,小心点儿,惯用语,
さようなら,さようなら,再见,惯用语,
どうやって,どうやって,怎样，如何,惯用语,
役に立ちます,やくにたちます,有用,惯用语,
おなかがいっぱいです,おなかがいっぱいです,吃饱，饱,惯用语,
,,,,
新标初_25,,,,
数学,すうがく,数学,名词,
専門,せんもん,专门,名词,
女優,じょゆう,女演员,名词,
営業課,えいぎょうか,营业科,名词,
市街,しがい,市内，市街，繁华街道,名词,
道路,どうろ,道路，马路,名词,
交通量,こうつうりょう,交通流量，通行量,名词,
空港,くうこう,机场,名词,
高速道路,こうそくどうろ,高速公路,名词,
部品工場,ぶひんこうじょう,零件制造厂,名词,
エレベーター,エレベーター,电梯,名词,
絵本,えほん,图画书，连环画,名词,
自然,しぜん,大自然,名词,
給料,きゅうりょう,工资,名词,
今夜,こんや,今天晚上,名词,
けが,けが,伤,名词,
泊まります,とまります,住，过夜，住宿,动1,
結びます,むすびます,连接，系,动1,
取ります,とります,印，记下,动1,
生まれます,うまれます,出生，诞生,动2,
倒産します,とうさんします,倒闭，破产,动3,
渋滞します,じゅうたいします,堵车，停滞,动3,
チェックします,チェックします,确认,动3,
豊か,ゆたか,充裕，丰富,形容动词,
大きな,おおきな,大的,连接词,
小さな,ちいさな,小的,连接词,
別に,べつに,并不,副词,
戴,たい,戴,专有词,
週,しゅう,周,专有词,
唐,とう,唐,专有词,
中国航空,ちゅうごくこうくう,中国航空,专有词,
天安飯店,てんあんはんてん,天安饭店,专有词,
三環路,さんかんろ,三环路,专有词,
このあたり,このあたり,这一带，这附近,惯用语,
,,,,
新标初_26,,,,
大雨,おおあめ,大雨,名词,
桜,さくら,樱花,名词,
風,かぜ,风,名词,
月,つき,月亮,名词,
表,ひょう,表,名词,
握手,あくしゅ,握手,名词,
習慣,しゅうかん,习惯,名词,
お辞儀,おじぎ,鞠躬,名词,
あいさつ,あいさつ,寒暄,名词,
手,て,手,名词,
お客さん,おきゃくさん,顾客，客人,名词,
普通,ふつう,一般，普通,名词,
次,つぎ,这回，下面，下回,名词,
スーパー,スーパー,超市,名词,
料金,りょうきん,费用,名词,
会費,かいひ,会费,名词,
バーゲン,バーゲン,降价出售,名词,
クレジットカード,クレジットカード,信用卡,名词,
色鉛筆,いろえんぴつ,彩色铅笔,名词,
豊作,ほうさく,丰收,名词,
仲,なか,关系，友情，友谊,名词,
忘れ物,わすれもの,忘记的东西，遗忘的物品,名词,
防ぎます,ふせぎます,防御，防备，防守,动1,
回ります,まわります,走访；转；绕弯,动1,
走ります,はしります,跑，奔跑,动1,
吹きます,ふきます,吹,动1,
挙げます,あげます,举，举起,动2,
足ります,たります,足，够,动2,
スケッチします,スケッチします,素描，写生,动3,
発言します,はつげんします,发言,动3,
優勝します,ゆうしょうします,得冠军,动3,
合格します,ごうかくします,及格，合格,动3,
もしかしたら,もしかしたら,也许,副词,
約束します,やくそくします,约定,动3,
つい,つい,不知不觉地，无意中,副词,
すぐに,すぐに,就要，立刻，马上,副词,
ほとんど,ほとんど,大部分，几乎,副词,
それで,それで,因此,接续词,
鈴木,すずき,铃木,专有词,
楊,よう,杨,专有词,
加藤,かとう,加藤,专有词,
葉子,ようこ,叶子,专有词,
光デパート,ひかりデパート,阳光百货商店,专有词,
北京タイガース,ペキンタイガース,北京猛虎队＜棒球队名称＞,专有词,
あいさつ回り,あいさつまわり,寒暄拜访,惯用语,
いけない,いけない,不行，不好，不可以,惯用语,
,,,,
新标初_27,,,,
経済,けいざい,经济,名词,
国際関係学,こくさいかんけいがく,国际关系学,名词,
大勢,おおぜい,许多，众多,名词,
高校,こうこう,高中,名词,
日記,にっき,日记,名词,
教師,きょうし,教师,名词,
お年寄り,おとしより,老年人,名词,
ラジオ体操,ラジオたいそう,广播体操,名词,
社交ダンス,しゃこうダンス,交际舞,名词,
卓球,たっきゅう,乒乓球,名词,
バスケットボール,バスケットボール,篮球,名词,
スポーツセンター,スポーツセンター,体育中心,名词,
入園料,にゅうえんりょう,门票，入园费,名词,
有料,ゆうりょう,收费,名词,
賞,しょう,奖,名词,
曲,きょく,乐曲，歌曲,名词,
詩,し,诗歌,名词,
信号,しんごう,信号，红绿灯,名词,
はさみ,はさみ,剪刀,名词,
部品,ぶひん,零部件,名词,
アルバイト,アルバイト,打工，副业，工读,名词,
スピーチ,スピーチ,演说，演讲,名词,
グラフ,グラフ,图表,名词,
企画,きかく,策划，计划,名词,
説明,せつめい,说明,名词,
ご飯,ごはん,饭,名词,
砂糖,さとう,砂糖,名词,
海外旅行,かいがいりょこう,海外旅行,名词,
こと,こと,事情,名词,
おじいさん,おじいさん,爷爷；老大爷,代词,
おばあさん,おばあさん,奶奶；老奶奶,代词,
姉,あね,姐姐,代词,
通います,かよいます,上学，来往,动1,
集まります,あつまります,聚，集合,动1,
踊ります,おどります,跳舞,动1,
要ります,いります,要,动1,
困ります,こまります,为难，难办,动1,
たたきます,たたきます,拍，敲，打,动1,
入れます,いれます,放入，放进,动2,
看病します,かんびょうします,护理,动3,
けんかします,けんかします,吵架，打架,动3,
利用します,りようします,利用,动3,
そうだんします,そうだんします,商谈,动3,
ほかに,ほかに,另外,副词,
しばらく,しばらく,许久，好久；片刻,副词,
へえ,へえ,哎，哎呀，哎哟,感叹词,
木下,きのした,木下,专有词,
田村,たむら,田村,专有词,
この前,このまえ,前几天，之前，最近,惯用语,
そう言えば,そういえば,说起来，这么说来,惯用语,
気がつきます,きがつきます,察觉,惯用语,
しばらくです,しばらくです,好久不见,惯用语,
,,,,
新标初_28,,,,
マフラー,マフラー,围巾,名词,
ネックレス,ネックレス,项链,名词,
家具,かぐ,家具,名词,
文章,ぶんしょう,文章,名词,
意味,いみ,意思,名词,
雰囲気,ふんいき,气氛,名词,
発音,はつおん,发音,名词,
不動産屋,ふどうさんや,房产公司,名词,
飲食店,いんしょくてん,饮食店,名词,
大使館,たいしかん,大使馆,名词,
新居,しんきょ,新居,名词,
引っ越し,ひっこし,搬家,名词,
近所,きんじょ,附近,名词,
孫,まご,孙子，孙女,名词,
係,かかり,工作人员，主管人员,名词,
支社長,ししゃちょう,分公司经理,名词,
就職,しゅうしょく,就业,名词,
インターネット,インターネット,互联网,名词,
拾います,ひろいます,捡，拾,动1,
訳します,やくします,翻译,动1,
くれます,くれます,给,动2,
届けます,とどけます,送到，送去,动2,
案内します,あんないします,向导，导游,动3,
交換します,こうかんします,换，交换,动3,
紹介します,しょうかいします,介绍,动3,
すてき,すてき,漂亮，极好,形容动词,
得意,とくい,擅长,形容动词,
新鮮,しんせん,新鲜,形容动词,
うまく,うまく,高明地，很好地,副词,
それに,それに,而且,接续词,
中田,なかた,中田,专有词,
国際貿易センター,こくさいぼうえきセンター,国际贸易中心,惯用语,
国貿,こくぼう,国贸,专有词,
どういたしまして,どういたしまして,没关系,惯用语,
どの辺,どのへん,哪儿,惯用语,
,,,,
新标初_29,,,,
質問,しつもん,提问，问题,名词,
場合,ばあい,场合，情况,名词,
迷惑,めいわく,麻烦,名词,
フジ,フジ,紫藤,名词,
カササギ,カササギ,喜鹊,名词,
鳥,とり,鸟,名词,
マーク,マーク,符号,名词,
標識,ひょうしき,标记,名词,
横断禁止,おうだんきんし,禁止横穿,名词,
スピード,スピード,速度,名词,
免許証,めんきょしょう,许可证，执照,名词,
企画書,きかくしょ,计划书,名词,
野球場,やきゅうじょう,棒球场,名词,
テレビ講座,テレビこうざ,电视讲座,名词,
漢字,かんじ,汉字,名词,
戦争,せんそう,战争,名词,
警官,けいかん,警察,名词,
年上,としうえ,年长者,名词,
止まります,とまります,停，停住,动1,
変わります,かわります,变，转变,动1,
頑張ります,がんばります,拼命努力,动1,
謝ります,あやまります,道歉,动1,
サボります,サボります,逃学，怠工,动1,
破ります,やぶります,爽约，打破,动1,
引きます,ひきます,拉，抽,动1,
守ります,まもります,遵守，保护,动1,
答えます,こたえます,回答,动2,
逃げます,にげます,逃跑,动2,
助けます,たすけます,救助，帮助,动2,
付けます,つけます,添加，附加,动2,
覚えます,おぼえます,记住，掌握,动2,
提出します,ていしゅつします,提交，提出,动3,
遠慮します,えんりょします,客气,动3,
注意します,ちゅういします,注意,动3,
シュートします,シュートします,（足球）射门，投篮,动3,
親しい,したしい,熟悉，亲切，亲密,形容词,
乱暴,らんぼう,粗暴,形容动词,
失礼,しつれい,不礼貌,形容动词,
同じ,おなじ,一样，相同,形容动词,
危険,きけん,危险,形容动词,
そんな,そんな,那样的,连接词,
丁寧に,ていねいに,恭敬地；细心地,副词,
おい,おい,哎，喂,感叹词,
誠,まこと,诚，阿诚,专有词,
周恩来,しゅうおんらい,周恩来,专有词,
魯迅,ろじん,鲁迅,专有词,
世田谷,せたがや,世田谷,专有词,
富士,ふじ,富士,专有词,
変わった,かわった,怪,惯用语,
風邪を引きます,かぜをひきます,感冒,惯用语,
,,,,
新标初_30,,,,
宅配便,たくはいびん,送货上门服务,名词,
報告書,ほうこくしょ,报告书,名词,
梅雨,つゆ,梅雨,名词,
秋,あき,秋天，秋季,名词,
ピクニック,ピクニック,郊游,名词,
行楽地,こうらくち,景点，浏览地,名词,
ピザ,ピザ,比萨饼,名词,
終電,しゅうでん,末班电车,名词,
待合室,まちあいしつ,候诊室，等候室,名词,
患者,かんじゃ,病人，患者,名词,
灰皿,はいざら,烟灰缸,名词,
吸殻,すいがら,烟头，烟灰，烟蒂,名词,
歯,は,牙齿,名词,
彼,かれ,他,代词,
そろいます,そろいます,到齐，齐全,动1,
寄ります,よります,顺便去；靠近,动1,
開きます,ひらきます,开，开张,动1,
迎えます,むかえます,迎接,动2,
引っ越します,ひっこします,搬迁,动1,
壊れます,こわれます,出故障，坏,动2,
間違えます,まちがえます,搞错,动2,
出発します,しゅっぱつします,出发,动3,
転職します,てんしょくします,换工作,动3,
パンクします,パンクします,轮胎爆裂，撑破,动3,
寂しい,さびしい,寂寞,形容词,
楽しみ,たのしみ,愉快，期待,形容动词,
特別,とくべつ,特别,形容动词,
それでは／それじゃ,それでは/それじゃ,那么,接续词,
そうか,そうか,是吗,感叹词,
まあ,まあ,嗯，嘿，哎哟,感叹词,
パク,パク,朴,专有词,
長江下り,ちょうこうくだり,坐船浏览长江两岸风光,专有词,
香山,こうざん,香山,专有词,
北京植物園,ペキンしょくぶつえん,北京植物园,专有词,
仕方ない,しかたない,没有办法,惯用语,
,,,,
新标初_31,,,,
ボタン,ボタン,按钮；纽扣,名词,
ブローチ,ブローチ,胸针,名词,
カーテン,カーテン,窗帘，帘子,名词,
コンクリート,コンクリート,混凝土，水泥,名词,
プラスチック,プラスチック,塑胶，塑料,名词,
ひすい,ひすい,翡翠,名词,
サービスセンター,サービスセンター,维修服务中心,名词,
会員,かいいん,会员,名词,
特典,とくてん,优惠,名词,
お手洗い,おてあらい,洗手间，厕所,名词,
階段,かいだん,楼梯，台阶,名词,
以降,いこう,以后,名词,
側,そば,旁边,名词,
卓球台,たっきゅうだい,乒乓球桌,名词,
サイズ,サイズ,大小，尺寸,名词,
人間,にんげん,人，人类,名词,
白鳥,はくちょう,鹅,名词,
電源,でんげん,电源,名词,
スイカ,スイカ,西瓜,名词,
押します,おします,按，推，挤,动1,
つきます,つきます,灯亮，灯开,动1,
下がります,さがります,下降，降低,动1,
怒ります,おこります,生气,动1,
回します,まわします,转，传送，传递,动1,
動きます,うごきます,运转，转动,动1,
生きます,いきます,活，生存,动2,
下ります,おります,下，下来,动2,
フリーズします,フリーズします,死机,动3,
故障します,こしょうします,故障,动3,
美しい,うつくしい,美丽,形容词,
うまい,うまい,高明，好吃，可口,形容词,
詳しい,くわしい,详细,形容词,
自由,じゆう,随便，自由,形容动词,
丁寧,ていねい,精心，细心，恭敬,形容动词,
きちんと,きちんと,好好地；正经地,副词,
ただし,ただし,不过，只是,接续词,
しかし,しかし,可是，但是,接续词,
気持ち悪い,きもちわるい,不舒服,惯用语,
,,,,
新标初_32,,,,
列車,れっしゃ,火车,名词,
高速バス,こうそくバス,高速公共汽车,名词,
出発時刻,しゅっぱつじこく,出发时间,名词,
旅行予定,りょこうよてい,旅行计划,名词,
天気予報,てんきよほう,天气预报,名词,
台風,たいふう,台风,名词,
うわさ,うわさ,传说，风言风语,名词,
宣伝,せんでん,宣传,名词,
番組,ばんぐみ,节目,名词,
新型,しんがた,新型,名词,
ボーナス,ボーナス,奖金,名词,
ラーメン,ラーメン,面条,名词,
牛乳,ぎゅうにゅう,牛奶,名词,
饺子パーティー,ギョーザパーティー,饺子宴,名词,
正月休み,しょうがつやすみ,新年假日,名词,
スポーツ用品,スポーツようひん,体育用品,名词,
インフルエンザ,インフルエンザ,流感，流行性感冒,名词,
支店,してん,分店，分公司,名词,
小学校,しょうがっこう,小学,名词,
遊園地,ゆうえんち,游乐园,名词,
首相,しゅしょう,首相,名词,
歴史,れきし,历史,名词,
彼女,かのじょ,她,代词,
行います,おこないます,开，举行,动1,
上がります,あがります,提高，涨,动1,
乗り換えます,のりかえます,换乘,动2,
辞めます,やめます,辞去,动2,
留学します,りゅうがくします,留学,动3,
入学します,にゅうがくします,入学,动3,
流行します,りゅうこうします,流行,动3,
入院します,にゅういんします,住院,动3,
お邪魔します,おじゃまします,打扰，拜访,动3,
担当します,たんとうします,承担,动3,
強い,つよい,强，坚强,形容词,
気さく,きさく,爽快，坦率,形容动词,
いろんな,いろんな,各种各样的,连接词,
ずっと,ずっと,一直，始终,副词,
劉英,りゅうえい,刘英,专有词,
タイ,タイ,泰国,专有词,
京都ホテル,きょうとホテル,京都宾馆,专有词,
お邪魔しました,おじゃましました,打扰了,惯用语,
風が強い,かぜがつよい,风大,惯用语,
,,,,
新标初_33,,,,
スーツケース,スーツケース,旅行箱,名词,
トランク,トランク,后备箱；手提箱，皮箱,名词,
スーツ,スーツ,西服，女套装,名词,
ズボン,ズボン,裤子,名词,
Tシャツ,ティーシャツ,T恤衫,名词,
サンダル,サンダル,凉鞋,名词,
帽子,ぼうし,帽子,名词,
腕時計,うでどけい,手表,名词,
小物,こもの,小东西，细小的附件,名词,
運転手,うんてんしゅ,司机,名词,
空,から,空,名词,
運動会,うんどうかい,运动会,名词,
チーム,チーム,队，团体,名词,
最後,さいご,最后,名词,
再会,さいかい,重逢，再会,名词,
久しぶり,ひさしぶり,好久不见,名词,
カキ,カキ,柿子,名词,
清涼飲料水,せいりょういんりょうすい,清凉饮料,名词,
閉まります,しまります,关闭，关,动1,
壊します,こわします,弄坏,动1,
割ります,わります,割开，打破，打坏,动1,
付きます,つきます,附带，附加,动1,
掛かります,かかります,挂，悬挂,动1,
汚します,よごします,弄脏,动1,
やみます,やみます,停，停息，停止,动1,
